sample,patient_id,tissue_site,cell_type_clean,n_cells,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,1413,0.022680543,0.017810447,0.18503922,0.15873888,0.2553702,0.28920382,0.11891734
BRONCHO_11,11,advanced_airway_tumor,Epithelial cells,204,0.007684148,0.024944039,0.57571936,0.22066645,0.2743867,1.055002,0.34861085
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,10,0.0031356427,0.0,0.26470855,0.18035701,0.9049268,0.6816409,0.25513813
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,739,0.06595187,0.0418561,1.7155626,1.255519,0.7044388,1.0055301,0.12570722
BRONCHO_11,11,advanced_airway_tumor,NK cells,26,0.22982153,3.019288,0.2505226,0.17791691,0.375884,0.42244896,0.2584143
BRONCHO_11,11,advanced_airway_tumor,T lymphocytes,783,0.15567146,0.30026796,0.21497907,0.16867988,0.31976092,0.43224955,0.18964961
BRONCHO_11,11,advanced_airway_tumor,Undetermined,3,0.15828708,0.0,0.30028337,0.17737788,0.15405458,0.0,0.13056667
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,162,0.016891172,0.06454704,0.10301095,0.086945824,0.15462242,0.22653751,0.0890919
BRONCHO_58,58,advanced_airway_tumor,Epithelial cells,497,0.015504591,0.08290039,0.56925976,0.11843847,0.37191677,0.8939532,0.20365354
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,91,0.016624056,0.078753464,0.11956552,0.13736172,0.96601146,0.56911474,0.11147912
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,515,0.09514549,0.08987711,1.2542801,1.2922704,0.60702676,0.61623514,0.24872255
BRONCHO_58,58,advanced_airway_tumor,NK cells,135,0.16050436,2.975384,0.1365526,0.06265959,0.2687882,0.38820672,0.13053077
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,1411,0.39010108,0.93200433,0.114543736,0.07463973,0.3304679,0.45000926,0.20842858
BRONCHO_58,58,advanced_airway_tumor,Undetermined,2,0.0,0.0,0.0,0.0,0.0,0.0,0.12890781
