sample,patient_id,tissue_site,cell_type_clean,Cell_subtype,n_cells,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,Follicular B cells,1388,0.02257193957492795,0.014779809193083573,0.185447780490634,0.15787794260086455,0.2547653703926513,0.2886539409041787,0.1169534430295389
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,1,0.09392941,0.09392941,0.09392941,0.19750755,0.39948925,0.8632824,1.1225001
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,MALT B cells,6,0.0,0.04868988333333333,0.21599589500000002,0.20918248000000003,0.37072516666666666,0.367265895,0.21142489833333333
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,Plasma cells,7,0.0,0.0,0.12662226571428573,0.1711846557142857,0.08781379,0.07244684000000001,0.17100038285714286
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,Undetermined,11,0.05671130545454545,0.3877924136363637,0.16205891727272725,0.22841441727272727,0.3622944881818182,0.4017550181818182,0.19188800636363634
BRONCHO_11,11,advanced_airway_tumor,Epithelial cells,Malignant cells,203,0.007722000596059113,0.025066915704433496,0.5785554574876848,0.22050658743349755,0.27355048720197045,1.0589520845320197,0.350328153453202
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,COL13A1+ matrix FBs,4,0.007839107,0.0,0.27391461500000003,0.2787664025,0.945389835,0.9603101725000001,0.176304305
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,COL14A1+ matrix FBs,1,0.0,0.0,0.0,0.14258903,1.1129265,0.27015832,0.14258903
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,Lymphatic ECs,2,0.0,0.0,0.44209890500000004,0.196968245,0.6838817500000001,0.43390116,0.761018
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,Myofibroblasts,1,0.0,0.0,0.1521722,0.0,1.4806556,0.56676775,0.0
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,Tumor ECs,2,0.0,0.0,0.25752852,0.07598946,0.65318155,0.635219905,0.09076953
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Activated DCs,2,0.0,0.0,0.33372457,0.205594945,0.5024552250000001,0.58216494,0.04878159
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Alveolar Mac,2,0.07809907,0.0,0.731356125,0.846518965,0.789509675,0.88473095,0.0
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,CD141+ DCs,1,0.0,0.0,0.40033147,0.0,0.4249835,0.577032,0.0
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,13,0.0812489223076923,0.09029144800000001,1.81221787,0.5331175253846154,0.8126798246153846,1.0223418192307692,0.19116226307692305
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,CD1c+ DCs,3,0.058018976666666666,0.029009488666666666,0.35153050333333336,0.23534349666666665,0.30726038333333333,0.7010717,0.15395964333333334
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Monocytes,42,0.0407101705952381,0.024404005595238094,3.2458959285714286,0.3165949,0.7449471645238095,0.5344895445238096,0.14154880035714287
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Pleural Mac,3,0.07305621999999999,0.0,1.5503978,1.5374448333333335,0.8481697166666667,0.4933911766666667,0.05645674333333334
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Undetermined,52,0.04435353538461539,0.02605469942307692,0.5422012713461538,1.051409418653846,0.5278909319230769,0.668320500576923,0.04606998846153846
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,mo-Mac,614,0.0697133778159609,0.038044564389250815,1.7436511459446253,1.37440784762215,0.7208611354885993,1.0795792270521174,0.12973828042182411
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,pDCs,7,0.04464965428571428,0.5616661285714286,0.12597531571428572,0.2312464342857143,0.3133358985714286,0.3770379942857143,0.24053137857142856
BRONCHO_11,11,advanced_airway_tumor,NK cells,NK,12,0.24301054416666668,2.9528500666666666,0.2637222475,0.18107648083333336,0.37678394666666665,0.37413425166666664,0.15889411416666666
BRONCHO_11,11,advanced_airway_tumor,NK cells,Undetermined,1,0.2677076,2.8145676,0.2677076,0.6333204,0.365895,0.0,1.8565884
