tissue_site,cell_type_clean,Cell_subtype,total_cells,n_sample_subtypes,mean_cells_per_sample,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
advanced_airway_tumor,B lymphocytes,Follicular B cells,5495,10,549.5,0.010171759400457612,0.04384417866661104,0.1082058208336069,0.09988582553106318,0.19831282263166464,0.2402492749685574,0.10287458060779646
advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,229,2,114.5,0.045924985737016755,0.0368397921607765,0.057907362130039816,0.08623580236427741,0.23582003546590344,0.7304793097565123,1.5691636989663182
advanced_airway_tumor,B lymphocytes,GC B cells in the LZ,147,2,73.5,0.05812111532834379,0.015892077510864314,0.06938336879285369,0.11805322377233221,0.12079657128078224,0.4248096228899083,0.3063886809198455
advanced_airway_tumor,B lymphocytes,MALT B cells,208,3,69.33333333333333,0.02004672980452804,0.0768886487517938,0.10939004852093348,0.12413496931090211,0.206429411735876,0.36281160734726575,0.3234591434192616
advanced_airway_tumor,B lymphocytes,Plasma cells,77,3,25.666666666666668,0.014845378765884654,0.08987706760964483,0.08297480832722386,0.12536374247556206,0.08441717416047573,0.13254996493059626,0.010647086188497882
advanced_airway_tumor,B lymphocytes,Undetermined,249,2,124.5,0.07407057023528234,0.251846853454145,0.07476056368061675,0.09499781192501,0.40325417830596716,0.36692643871746095,0.18052695750520625
advanced_airway_tumor,Epithelial cells,Malignant cells,9361,11,851.0,0.010919363555348949,0.06609563556246201,0.3990833545498507,0.19526393102482692,0.29082071639147666,1.006121663084574,0.3639065783884659
advanced_airway_tumor,Fibroblasts,Myofibroblasts,45,1,45.0,0.010808128222222223,0.07278164124444444,0.12308297224444444,0.1325517701111111,1.1962522233333333,0.5822930326666667,0.11004890646666667
advanced_airway_tumor,Myeloid cells,Alveolar Mac,46,1,46.0,0.11573221304347826,0.09323860328260869,1.269550740652174,2.436195606521739,0.6792436369565218,0.5759378930434782,0.3380787714347826
advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,165,4,41.25,0.1120399807568358,0.07242939958545572,1.555709564329024,1.0951968234161926,0.634888790968649,0.8359628513825146,0.5069430843547188
