sample,patient_id,tissue_site,cell_type_clean,Cell_subtype,n_cells,total_cells,sample_fraction
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,Follicular B cells,1388,3178,0.4367526746381372
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,1,3178,0.00031466331025802394
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,MALT B cells,6,3178,0.0018879798615481435
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,Plasma cells,7,3178,0.0022026431718061676
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,Undetermined,11,3178,0.003461296412838263
BRONCHO_11,11,advanced_airway_tumor,Epithelial cells,Malignant cells,203,3178,0.06387665198237885
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,COL13A1+ matrix FBs,4,3178,0.0012586532410320957
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,COL14A1+ matrix FBs,1,3178,0.00031466331025802394
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,Lymphatic ECs,2,3178,0.0006293266205160479
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,Myofibroblasts,1,3178,0.00031466331025802394
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,Tumor ECs,2,3178,0.0006293266205160479
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Activated DCs,2,3178,0.0006293266205160479
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Alveolar Mac,2,3178,0.0006293266205160479
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,CD141+ DCs,1,3178,0.00031466331025802394
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,13,3178,0.0040906230333543105
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,CD1c+ DCs,3,3178,0.0009439899307740718
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Monocytes,42,3178,0.013215859030837005
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Pleural Mac,3,3178,0.0009439899307740718
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,Undetermined,52,3178,0.016362492133417242
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,mo-Mac,614,3178,0.19320327249842667
