tissue_site,cell_type_clean,Cell_subtype,n_cells,total_cells,fraction
advanced_airway_tumor,B lymphocytes,Follicular B cells,5501,30496,0.18038431269674712
advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,234,30496,0.007673137460650577
advanced_airway_tumor,B lymphocytes,GC B cells in the LZ,149,30496,0.00488588667366212
advanced_airway_tumor,B lymphocytes,GrB-secreting B cells,2,30496,6.558237145855194e-05
advanced_airway_tumor,B lymphocytes,MALT B cells,258,30496,0.0084601259181532
advanced_airway_tumor,B lymphocytes,Plasma cells,109,30496,0.003574239244491081
advanced_airway_tumor,B lymphocytes,Undetermined,278,30496,0.009115949632738719
advanced_airway_tumor,Epithelial cells,Malignant cells,9361,30496,0.30695828961175237
advanced_airway_tumor,Fibroblasts,COL13A1+ matrix FBs,20,30496,0.0006558237145855194
advanced_airway_tumor,Fibroblasts,COL14A1+ matrix FBs,2,30496,6.558237145855194e-05
advanced_airway_tumor,Fibroblasts,EPCs,1,30496,3.279118572927597e-05
advanced_airway_tumor,Fibroblasts,Lymphatic ECs,7,30496,0.0002295383001049318
advanced_airway_tumor,Fibroblasts,Mesothelial cells,1,30496,3.279118572927597e-05
advanced_airway_tumor,Fibroblasts,Myofibroblasts,69,30496,0.002262591815320042
advanced_airway_tumor,Fibroblasts,Pericytes,9,30496,0.00029512067156348376
advanced_airway_tumor,Fibroblasts,Smooth muscle cells,7,30496,0.0002295383001049318
advanced_airway_tumor,Fibroblasts,Tumor ECs,18,30496,0.0005902413431269675
advanced_airway_tumor,Fibroblasts,Undetermined,3,30496,9.837355718782791e-05
advanced_airway_tumor,Myeloid cells,Activated DCs,36,30496,0.001180482686253935
advanced_airway_tumor,Myeloid cells,Alveolar Mac,91,30496,0.0029839979013641135
advanced_airway_tumor,Myeloid cells,CD141+ DCs,22,30496,0.0007214060860440713
advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,204,30496,0.006689401888772298
advanced_airway_tumor,Myeloid cells,CD1c+ DCs,107,30496,0.003508656873032529
advanced_airway_tumor,Myeloid cells,CD207+CD1a+ LCs,69,30496,0.002262591815320042
advanced_airway_tumor,Myeloid cells,Microglia/Mac,7,30496,0.0002295383001049318
advanced_airway_tumor,Myeloid cells,Monocytes,1062,30496,0.03482423924449108
advanced_airway_tumor,Myeloid cells,Pleural Mac,82,30496,0.0026888772298006296
advanced_airway_tumor,Myeloid cells,Undetermined,740,30496,0.02426547743966422
advanced_airway_tumor,Myeloid cells,mo-Mac,4301,30496,0.14103488982161594
advanced_airway_tumor,Myeloid cells,pDCs,50,30496,0.0016395592864637985
advanced_airway_tumor,NK cells,CD8 low T,4,30496,0.00013116474291710389
advanced_airway_tumor,NK cells,Cytotoxic CD8+ T,10,30496,0.0003279118572927597
advanced_airway_tumor,NK cells,NK,885,30496,0.029020199370409235
advanced_airway_tumor,NK cells,Undetermined,10,30496,0.0003279118572927597
advanced_airway_tumor,T lymphocytes,CD4+ Th,743,30496,0.024363850996852045
advanced_airway_tumor,T lymphocytes,CD8 low T,699,30496,0.022921038824763904
advanced_airway_tumor,T lymphocytes,CD8+/CD4+ Mixed Th,7,30496,0.0002295383001049318
advanced_airway_tumor,T lymphocytes,Cytotoxic CD8+ T,524,30496,0.017182581322140608
advanced_airway_tumor,T lymphocytes,Exhausted CD8+ T,889,30496,0.029151364113326337
